wiki_commons_id,wiki_data_q,depicts
80271759,['Q291264'],['Tatiana Ivanova']
138217900,"['Q34442', 'Q8063', 'Q6501349', 'Q3877312']","['road', 'rock', 'parking lot', 'Little Wenlock']"
88823417,['Q31188374'],['Persian carpet dealer on the street']
115984533,"['Q168983', 'Q21092126', 'Q93184']","['conflagration', 'Pierre Quentin Chedel', 'drawing']"
141659019,"['Q105889895', 'Q1468524', 'Q2977', 'Q21061279', 'Q7594986']","['religious site', 'city center', 'cathedral', 'stained glass window', 'Kirkwall and St Ola']"
106944978,['Q94447744'],['Statue of Saint John the Baptist in Jiříkov']
20188309,['Q2499227'],['Yponomeuta irrorella']
65207067,['Q43382516'],[None]
106103397,"['Q600301', 'Q156566', 'Q2018923']","['Troy', 'Rensselaer County', 'Upstate New York']"
113009372,"['Q532', 'Q34442', 'Q12284', 'Q12280', 'Q15709582', 'Q2428906']","['village', 'road', 'canal', 'bridge', 'country lane', 'Kinver']"
76474096,"['Q7735', 'Q61779899']","['diving', 'Simon Kleinert']"
119201390,['Q8520984'],['Moel Cynghorion']
39414139,['Q41410835'],['Hörmann’scher Herrensitz']
129353413,"['Q655686', 'Q1468524', 'Q27522921']","['commercial building', 'city center', 'Ebbw Vale South']"
15421535,['Q116942954'],['Ancient Roman oil lamps']
141754242,"['Q532', 'Q682943', 'Q276173', 'Q338313', 'Q643686']","['village', 'cricket field', 'pavilion', 'business park', 'Earls Colne']"
57797524,['Q6193174'],['Pierre Ström']
21528477,['Q1630547'],['Saxifraga hostii']
133455474,"['Q21515108', 'Q1128397', 'Q94483283', 'Q76529788', 'Q16735822', 'Q92755865', 'Q44539', 'Q16970', 'Q47848', 'Q24398318', 'Q41176', 'Q3579101', 'Q9259', 'Q1516079', 'Q210272', 'Q1081138', 'Q508475', 'Q170603', 'Q1141009', 'Q546562', 'Q20204317', 'Q79923']","['former convent of Saint Michael the Archangel', 'convent', 'former convent', 'Franciscan friary', 'history museum', 'religious museum', 'temple', 'church building', 'sacred architecture', 'religious building', 'building', 'edifice', 'World Heritage Site', 'cultural heritage ensemble', 'cultural heritage', 'historic site', 'colonial architecture', 'New Spain', 'Monasteries on the slopes of Popocatépetl', 'Huejotzingo Municipality', 'Huejotzingo de Nieva', 'Puebla']"
29001956,['Q21468289'],['Salle romane du musée des Augustins de Toulouse']
115387577,['Q6840675'],['Mid-City New Orleans']
144338381,"['Q34442', 'Q12280', 'Q68815136']","['road', 'bridge', 'Cleish']"
37296023,['Q5403607'],['Tuuli']
123780655,['Q2942854'],['Vercelli Cathedral']
