,wiki_commons_id,wiki_data_id,depicts
0,143472264,Q114567493,Silesia Star
1,133824188,Q532,village
2,127128148,Q34442,road
3,140840345,Q5004679,path
4,49943288,Q4668625,tuxedo
5,14260742,Q17549851,2 Jubbergate
6,30329750,Q43036922,Darvay house in Sighetu Marmației
7,47758886,Q27698079,Philip II
8,113529181,Q1081138,historic site
9,134850778,Q188509,suburb
10,112554596,Q1656682,event
11,74178247,Q27969718,Église Saint-Léger d'Amiens
12,113984946,Q1006733,grassland
13,91091934,Q675576,Pueblo
14,51675515,Q228852,Jane Lynch
15,126246320,Q5004679,path
16,82859131,Q901174,Nereis pelagica
17,132224511,Q3947,house
18,115901465,Q27950133,Opel Tech 1
19,130562833,Q5004679,path
20,141653120,Q316985,Agritechnica
21,122351350,Q5004679,path
22,143541608,Q3947,house
23,14959996,Q26708391,Saint Gregory the Great with Jesuit Saints
24,116636770,Q93352,coast
