,file_name,wiki_commons_id,wiki_data_id,depicts,description,object_name,categories
0,File:135387922.jpg,135387922,Q22,Scotland,"country in north-west Europe, part of the United Kingdom",Scotland,['Scotland']
1,File:98793258.jpg,98793258,Q652382,Salem Abbey,"building in Salem, Tübingen Government Region, Baden-Württemberg, Germany",Salem Abbey,['Monastery of Salem']
2,File:107520097.jpg,107520097,Q1211272,signage,design or use of signs and symbols on physical objects to communicate a message to a particular audience in a particular context,signage,['Signage']
3,File:88956240.jpg,88956240,Q870,train,form of rail transport consisting of a series of connected vehicles,train,['Trains']
4,File:123964591.jpg,123964591,Q5004679,path,small road or street,path,['Paths']
5,File:117774535.jpg,117774535,Q103846896,Alexander Kunz,German gymnast,Alexander Kunz,['Alexander Kunz']
6,File:45604146.jpg,45604146,Q9368,liver,vertebrate organ involved in metabolism,liver,['Livers']
7,File:117890476.jpg,117890476,Q686386,Stolberg,human settlement in Germany,Stolberg,['Stolberg (Harz)']
8,File:35750489.jpg,35750489,Q2429226,Thorsten Rund,German bicycle racer,Thorsten Rund,['Thorsten Rund']
9,File:120466862.jpg,120466862,Q527,sky,everything that is above the surface of the Earth,sky,['Sky']
10,File:14189643.jpg,14189643,Q1701954,John Tomac,American racing cyclist,John Tomac,['John Tomac']
11,File:97129154.jpg,97129154,Q15111575,Boeing 787-9,airliner by Boeing,Boeing 787-9,['Boeing 787-9']
12,File:133427057.jpg,133427057,Q1006733,grassland,area with vegetation dominated by grasses,grassland,['Grasslands']
13,File:9057112.jpg,9057112,Q842215,SNCF 242.A.1,prototype French 4-8-4 locomotive rebuilt from État 241-101,SNCF 242.A.1,['SNCF Class 242 A']
14,File:23912827.jpg,23912827,Q17607123,Sint-Michaëlklooster: Missiehuis Sint Michaël,"monument in Steyl, Netherlands",Sint-Michaëlklooster: Missiehuis Sint Michaël,"['Kloosterkerk Sint Michaël, Steyl']"
15,File:108174690.jpg,108174690,Q2681658,Ambiorix,"statue by Jules Bertin in Tongeren, Belgium",Ambiorix,['Statue of Ambiorix in Tongeren']
16,File:79724888.jpg,79724888,Q56366543,Alice White,"editor, researcher, Wikimedian in Residence",Alice White,['Alice White (wikimedian)']
17,File:85307616.jpg,85307616,Q1505189,awning,secondary covering attached to the exterior wall of a building,awning,['Awnings']
18,File:113037651.jpg,113037651,Q11451,agriculture,cultivation of plants and animals to provide useful products,agriculture,['Agriculture']
19,File:54378759.jpg,54378759,Q2662198,Erik Vlček,Canoe racer,Erik Vlček,['Erik Vlček']
20,File:118566008.jpg,118566008,Q110411596,Buulmolen,"windmill in Olen, Belgium",Buulmolen,['Buulmolen']
21,File:111561277.jpg,111561277,Q109128976,Linux Day 2021 Ivrea,"2021 edition of Linux Day, Italian conference on free software, in Ivrea (Italy)",Linux Day 2021 Ivrea,['Linux Day in Ivrea 2021']
22,File:130191431.jpg,130191431,Q721747,commemorative plaque,"plate or tablet, fixed to a surface or freestanding, commemorating an event, person, place, etc.",commemorative plaque,['Commemorative plaques']
23,File:127640646.jpg,127640646,Q7569,child,human between birth and puberty,child,['Children']
24,File:47137983.jpg,47137983,Q5725603,Laleh Eftekhari,Iranian politician,Laleh Eftekhari,['Laleh Eftekhari']
25,File:24018305.jpg,24018305,Q3165283,Sint Jacobskerk,"church building in 's-Hertogenbosch, Netherlands",Sint Jacobskerk,"[""Sint Jacobskerk, 's-Hertogenbosch""]"
26,File:122122268.jpg,122122268,Q142554,cosplay,type of performance art,cosplay,['Cosplay']
27,File:43585550.jpg,43585550,Q3849046,Saint Sarkis Cathedral,cultural heritage monument of Armenia,Saint Sarkis Cathedral,"['Saint Sarkis Cathedral, Yerevan']"
28,File:131521750.jpg,131521750,Q91122,bunker,defensive military building,bunker,['Bunkers']
29,File:110016562.jpg,110016562,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
30,File:129040317.jpg,129040317,Q5004679,path,small road or street,path,['Paths']
31,File:144238257.jpg,144238257,Q1311670,rail infrastructure,immovable parts of rail transport,rail infrastructure,['Rail transport infrastructure']
32,File:97452015.jpg,97452015,Q4933268,Bob Marshall Wilderness,"congressionally designated wilderness area in Western Montana, named for Bob Marshall",Bob Marshall Wilderness,['Bob Marshall Wilderness']
33,File:223430.jpg,223430,Q87575610,🀈,Unicode character U+1F008,🀈,['U+1F008']
34,File:110627246.jpg,110627246,Q11451,agriculture,cultivation of plants and animals to provide useful products,agriculture,['Agriculture']
35,File:27544283.jpg,27544283,Q38081098,Feldkirch Marktplatz 3,"building in Feldkirch, Austria",Feldkirch Marktplatz 3,['Feldkirch Marktplatz 3']
36,File:24628423.jpg,24628423,Q1423093,USS Lexington,Essex-class aircraft carrier,USS Lexington,['USS Lexington (CV-16)']
37,File:64481979.jpg,64481979,Q132510,market,"location where people regularly gather for the purchase and sale of provisions, livestock, and other goods",market,['Markets']
38,File:134520250.jpg,134520250,Q34442,road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road,['Roads']
39,File:130539529.jpg,130539529,Q1081138,historic site,"official location where pieces of political, military or social history have been preserved",historic site,['Historic sites']
40,File:136460768.jpg,136460768,Q1311670,rail infrastructure,immovable parts of rail transport,rail infrastructure,['Rail transport infrastructure']
41,File:21032571.jpg,21032571,Q7521174,First Baptist Simpsonville,"church building in South Carolina, United States of America",First Baptist Simpsonville,['First Baptist Simpsonville']
42,File:106487900.jpg,106487900,Q2075301,view,"something to look at, such as scenery",view,['Views']
43,File:4777201.jpg,4777201,Q1699944,John Edwards,British jazz bassist and improviser,John Edwards,['John Edwards (musician)']
44,File:56446434.jpg,56446434,Q7879307,Ulmus ʽLouis van Houtte’,elm cultivar,Ulmus ʽLouis van Houtte’,"[""Ulmus 'Louis van Houtte'""]"
45,File:131629167.jpg,131629167,Q55075651,upland,non-mountainous region of land which is higher in elevation than adjacent low-lying areas,upland,NA
46,File:65746449.jpg,65746449,Q20508310,Saint Hakob church,cultural heritage monument of Armenia,Saint Hakob church,['Saint Hakob church (Ararat)']
47,File:5595492.jpg,5595492,Q127216,Bald Eagle,species of bird of prey found in North America,Bald Eagle,['Haliaeetus leucocephalus']
48,File:89094071.jpg,89094071,Q34442,road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road,['Roads']
49,File:16445097.jpg,16445097,Q38125343,"Pfarrkirche Maria am Waasen, Leoben","church building in Leoben, Austria","Pfarrkirche Maria am Waasen, Leoben","['Pfarrkirche Maria am Waasen, Leoben']"
50,File:109597656.jpg,109597656,Q952497,Letterkenny,"town in County Donegal, Ireland",Letterkenny,['Letterkenny']
51,File:103647387.jpg,103647387,Q106497993,John W. Randolph,Mississippi state legislator,John W. Randolph,NA
52,File:107592233.jpg,107592233,Q30062483,church interior,interior of a church building,church interior,['Interiors of churches']
53,File:137228439.jpg,137228439,Q525,Sun,star at the centre of the Solar System,Sun,['Sun']
54,File:127662090.jpg,127662090,Q223207,Oriental Pearl Tower,"TV tower in Shanghai, China",Oriental Pearl Tower,['Oriental Pearl Tower']
55,File:75315133.jpg,75315133,Q105564,Hans-Olaf Henkel,German manager and politician,Hans-Olaf Henkel,['Hans-Olaf Henkel']
56,File:125385079.jpg,125385079,Q157626,Lamium album,species of plant,Lamium album,['Lamium album']
57,File:65686289.jpg,65686289,Q34836,Ulysses S. Grant,president of the United States from 1869 to 1877,Ulysses S. Grant,['Ulysses S. Grant']
58,File:104593744.jpg,104593744,Q5004679,path,small road or street,path,['Paths']
59,File:69094109.jpg,69094109,Q60481428,Carlo Strauß,Diver,Carlo Strauß,['Carlo Strauß']
60,File:76255641.jpg,76255641,Q41408552,Sankt Simon und Judas Thaddäus,"building in Pfarrkirchen, Lower Bavaria, Germany",Sankt Simon und Judas Thaddäus,['St. Simon und Judas Thaddäus (Pfarrkirchen)']
61,File:129325499.jpg,129325499,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
62,File:32298169.jpg,32298169,Q206592,jet aircraft,aircraft class powered by jet propulsion engines,jet aircraft,['Aircraft with jet engines']
63,File:136539064.jpg,136539064,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
64,File:116186683.jpg,116186683,Q105889895,religious site,location significant to one or more religions,religious site,NA
65,File:144146842.jpg,144146842,Q1081138,historic site,"official location where pieces of political, military or social history have been preserved",historic site,['Historic sites']
66,File:92690003.jpg,92690003,Q1144734,Genting Highlands,"highland in Pahang and Selangor, Malaysia",Genting Highlands,['Genting Highlands']
67,File:73784473.jpg,73784473,Q56582983,Madonna and Child (Avignon-Petit Palais),"statue kept at the Petit Palais museum in Avignon (Vaucluse, France)",Madonna and Child (Avignon-Petit Palais),NA
68,File:58291995.jpg,58291995,Q29564243,Tetraedrite quartz pyrite and dolomite-MCG 73019,"sample of cubic cristals shaped as tetreadrons, including tetraedrite, quartz, pyrite and dolomite",Tetraedrite quartz pyrite and dolomite-MCG 73019,['Tetraedrite quartz pyrite and dolomite-MCG 73019']
69,File:128501563.jpg,128501563,Q106478667,Trinitatiskirche,"protestant church building in Linz am Rhein, Germany",Trinitatiskirche,['Evangelische Kirche (Linz am Rhein)']
70,File:23599490.jpg,23599490,Q153494,Rothenburg ob der Tauber,town in Germany,Rothenburg ob der Tauber,['Rothenburg ob der Tauber']
71,File:107616933.jpg,107616933,Q840216,Saint-Georges-de-Reneins,"commune in Rhône, France",Saint-Georges-de-Reneins,['Saint-Georges-de-Reneins']
72,File:63358896.jpg,63358896,Q4743750,American Federation of Government Employees,American labor union,American Federation of Government Employees,['American Federation of Government Employees']
73,File:50255661.jpg,50255661,Q1001109,Vaxholm,city and urban area in Vaxholm Municipality in Sweden's Stockholm archipelago,Vaxholm,['Vaxholm']
74,File:85553464.jpg,85553464,Q3296292,Maryland State Police,official state police force of the U.S. state of Maryland,Maryland State Police,['Maryland State Police']
75,File:343004.jpg,343004,Q103084,flag of Burundi,flag,flag of Burundi,['National flag of Burundi']
76,File:115584386.jpg,115584386,Q11451,agriculture,cultivation of plants and animals to provide useful products,agriculture,['Agriculture']
77,File:141337071.jpg,141337071,Q188509,suburb,human settlement that is part of/or near to a larger city or town,suburb,['Suburbs']
78,File:139726447.jpg,139726447,Q15324,body of water,"any significant accumulation of water, generally on a planet's surface",body of water,['Bodies of water']
79,File:109550380.jpg,109550380,Q1081138,historic site,"official location where pieces of political, military or social history have been preserved",historic site,['Historic sites']
80,File:47465417.jpg,47465417,Q7765045,Julia Serano,American writer and activist,Julia Serano,['Julia Serano']
81,File:28733663.jpg,28733663,Q22329605,St. Matthias Roman Catholic Church Complex,NY location listed on National Register of Historic Places,St. Matthias Roman Catholic Church Complex,"['St. Matthias Roman Catholic Church Complex (Queens, New York)']"
82,File:3364846.jpg,3364846,Q290963,Hideko Takamine,Japanese actress (1924-2010),Hideko Takamine,['Hideko Takamine']
83,File:58254042.jpg,58254042,Q3133266,Shinagawa-juku,"station of the Tōkaidō, Japan",Shinagawa-juku,['Shinagawa-juku']
84,File:21765451.jpg,21765451,Q7228642,Poolesville Historic District,"historic district in Poolesville, Maryland, United States",Poolesville Historic District,['Poolesville Historic District']
85,File:24036597.jpg,24036597,Q2562760,Slotkapel,"church in Egmond aan den Hoef, Netherlands",Slotkapel,"['Slotkapel, Egmond aan den Hoef']"
86,File:49606434.jpg,49606434,Q106060693,Statue of Liberty replica,"replica of Statue of Liberty in Odaiba, Tokyo, Japan",Statue of Liberty replica,['Statue of Liberty (Tokyo)']
87,File:82801762.jpg,82801762,Q12467437,Carlo Calenda,Italian politician,Carlo Calenda,['Carlo Calenda']
88,File:121194176.jpg,121194176,Q108771935,Träd i klippigt landskap,drawing by Carl Fredrik Hill,Träd i klippigt landskap,NA
89,File:111129516.jpg,111129516,Q17207,Expedition 19,expedition to the International Space Station,Expedition 19,['ISS Expedition 19']
90,File:126628812.jpg,126628812,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
91,File:139230922.jpg,139230922,Q5004679,path,small road or street,path,['Paths']
92,File:130805180.jpg,130805180,Q828144,floor exercise,artistic gymnastics apparatus,floor exercise,['Floor (gymnastics)']
93,File:51407591.jpg,51407591,Q517043,Piet van Est,Dutch racing cyclist (1934–1991),Piet van Est,['Piet van Est']
94,File:8726462.jpg,8726462,Q436347,Alte Universität,"complex of historic university buildings in Vienna, Austria",Alte Universität,"['Old University, Vienna']"
95,File:134298307.jpg,134298307,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
96,File:95791219.jpg,95791219,Q22105839,Lepraria finkii,species of fungus,Lepraria finkii,NA
97,File:108967165.jpg,108967165,Q355304,watercourse,any flowing body of water,watercourse,['Watercourses']
98,File:142587270.jpg,142587270,Q1081138,historic site,"official location where pieces of political, military or social history have been preserved",historic site,['Historic sites']
99,File:96936597.jpg,96936597,Q99950443,The Friendly Societies (Limits of Benefits) Order 1978,UK Statutory Instrument 1978 No. 920,The Friendly Societies (Limits of Benefits) Order 1978,NA
100,File:98798496.jpg,98798496,Q188675,signature,handwritten mark made as a proof of identity and intent,signature,['Signatures']
101,File:77718003.jpg,77718003,Q62063687,Tobias aos cinco meses,"artwork of Eliseu Visconti, an Italian-Brazilian painter and designer who was active between the nineteenth and twentieth centuries",Tobias aos cinco meses,NA
102,File:112679982.jpg,112679982,Q188509,suburb,human settlement that is part of/or near to a larger city or town,suburb,['Suburbs']
103,File:136844158.jpg,136844158,Q34442,road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road,['Roads']
104,File:132110004.jpg,132110004,Q265332,Gray,"commune in Haute-Saône, France",Gray,['Gray (Haute-Saône)']
105,File:890189.jpg,890189,Q446614,Marian Pankowski,Polish writer,Marian Pankowski,['Marian Pankowski']
106,File:44951076.jpg,44951076,Q1386500,Terry Reintke,German politician,Terry Reintke,['Terry Reintke']
107,File:76073239.jpg,76073239,Q427087,non-coding RNA,class of RNA that is not translated into proteins,non-coding RNA,['Non-coding RNA']
108,File:98341081.jpg,98341081,Q8441,man,male adult human,man,['Men']
109,File:129194964.jpg,129194964,Q11451,agriculture,cultivation of plants and animals to provide useful products,agriculture,['Agriculture']
110,File:28676019.jpg,28676019,Q33409242,Saint Louis church in Joniec,"church building in Joniec, Poland",Saint Louis church in Joniec,['Saint Louis church in Joniec']
111,File:18306271.jpg,18306271,Q2326722,Calydiscoides euzeti,species of worm,Calydiscoides euzeti,NA
112,File:13157964.jpg,13157964,Q2321360,St. Mary's City,"unincorporated community in Maryland, United States",St. Mary's City,"[""St. Mary's City, Maryland""]"
113,File:91897732.jpg,91897732,Q77195,Petra Pau,German politician,Petra Pau,['Petra Pau']
114,File:136391833.jpg,136391833,Q5004679,path,small road or street,path,['Paths']
115,File:37205387.jpg,37205387,Q78485,Anna Freud,Austrian-British psychoanalyst (1895–1982),Anna Freud,['Anna Freud']
116,File:113991567.jpg,113991567,Q55075651,upland,non-mountainous region of land which is higher in elevation than adjacent low-lying areas,upland,NA
117,File:127316888.jpg,127316888,Q655686,commercial building,building associated with any aspect of the various activities and business relationships of industry and trade,commercial building,['Commerce buildings']
118,File:108827870.jpg,108827870,Q1943500,molinology,study of mills,molinology,NA
119,File:96725297.jpg,96725297,Q11104851,Songzhu railway station,"railway station located in Taichung, Taiwan",Songzhu railway station,['TRA Songzhu Station']
120,File:28694128.jpg,28694128,Q16590346,Portrait of a Gentleman,painting by El Greco (X-175),Portrait of a Gentleman,NA
121,File:128420331.jpg,128420331,Q44782,port,maritime facility where ships may dock to load and discharge passengers and cargo,port,['Ports and harbours']
122,File:108180803.jpg,108180803,Q49473583,Dorfkirche Limbach,"church building in Oschatz, Saxony, Germany",Dorfkirche Limbach,['Dorfkirche Limbach (Oschatz)']
123,File:114190832.jpg,114190832,Q6146376,"Royal Street, New Orleans","thoroughfare in New Orleans, United States","Royal Street, New Orleans","['Royal Street, New Orleans']"
124,File:126572508.jpg,126572508,Q655686,commercial building,building associated with any aspect of the various activities and business relationships of industry and trade,commercial building,['Commerce buildings']
125,File:108140676.jpg,108140676,Q131219,common dandelion,plant species,common dandelion,['Taraxacum officinale']
126,File:143640214.jpg,143640214,Q525,Sun,star at the centre of the Solar System,Sun,['Sun']
127,File:127311618.jpg,127311618,Q115972996,Mary Knowles,spouse of Sir Frederick Roe,Mary Knowles,NA
