url,suggestions_q,best_suggest
https://commons.wikimedia.org/wiki/File:Plac_Wielkopolski_w_Poznaniu_-_czerwiec_2017_-_4.jpg,"[('Wielkopolski', 0.1447773057422032, 'Q1460188'), ('Plac', 0.15831692877998726, 'Q7200197')]",[]
https://commons.wikimedia.org/wiki/File:2018-10-10_Gymnastics_at_2018_Summer_Youth_Olympics_–_Boys'_Artistic_Gymnastics_–_Horizontal_bar_qualification_(Martin_Rulsch)_0267.jpg,"[('Horizontal bar', 0.048811108786045235, 'Q623270')]","[('Horizontal bar', 0.048811108786045235, 'Q623270')]"
https://commons.wikimedia.org/wiki/File:CP_00118destructions_rue_de_Tournai_1914.jpg,"[('Siege of Lille', 0.02727038941117262, 'Q403479'), ('France', 0.039954682789842065, 'Q142'), ('Nord', 0.060570759356105945, 'Q224360'), ('Destruction', 0.060570759356105945, 'Q1215780')]","[('Siege of Lille', 0.02727038941117262, 'Q403479'), ('France', 0.039954682789842065, 'Q142')]"
"https://commons.wikimedia.org/wiki/File:Waycross,_Georgia_Historic_District_(40).jpg","[('Waycross Historic District', 0.0009481745290502735, 'Q30622481')]","[('Waycross Historic District', 0.0009481745290502735, 'Q30622481')]"
https://commons.wikimedia.org/wiki/File:J31_867_Kraftwerkskaverne.jpg,[],[]
https://commons.wikimedia.org/wiki/File:Grillplats_Kopparhällan_03.jpg,[],[]
https://commons.wikimedia.org/wiki/File:Albert_Nordin_SPA4.jpg,"[('Nordin', 0.08596317751626563, 'Q1998139'), ('Albert', 0.1447773057422032, 'Q2637730')]",[]
https://commons.wikimedia.org/wiki/File:Rue-David_Military_Cemetery_-14.JPG,"[('Fleurbaix', 0.030396371632413578, 'Q1024755'), ('Cemetery', 0.08596317751626563, 'Q39614'), ('Military', 0.1447773057422032, 'Q8473')]","[('Fleurbaix', 0.030396371632413578, 'Q1024755')]"
https://commons.wikimedia.org/wiki/File:Pagney_Vanneau_huppé_posé_maïs_hdsr_1D_MkIV_EC4E9311.jpg,[],[]
https://commons.wikimedia.org/wiki/File:Auferstehungskirche_Pfarrhof.JPG,"[('Lower Austria', 0.07978398963897237, 'Q42497'), ('Resurrection', 0.09705179139403544, 'Q188681'), ('Neustadt', 0.17881754828257995, 'Q2025594')]",[]
https://commons.wikimedia.org/wiki/File:Nihon-ji_04.jpg,[],[]
"https://commons.wikimedia.org/wiki/File:Human_headed_dragon_capital,_Carlisle_cathedral_-_geograph.org.uk_-_4063361.jpg","[('Edit', 0.08753752794077861, 'Q410090'), ('Carlisle', 0.12187825019647212, 'Q192896'), ('Human', 0.15633008210750643, 'Q5'), ('Structured Data on Commons', 0.15960018812934365, 'Q43387741'), ('File', 0.20500012856362337, 'Q1196501')]",[]
https://commons.wikimedia.org/wiki/File:Arco_(3469686358).jpg,"[('Madrid', 0.08596317751626563, 'Q2807'), ('Por', 0.15831692877998726, 'Q7016728')]",[]
https://commons.wikimedia.org/wiki/File:Bandar.jpg,"[('Iran', 0.08596317751626563, 'Q794')]",[]
https://commons.wikimedia.org/wiki/File:Scuti_rolling_grip_front_side.jpg,"[('Willis Gibson', 0.012602360123953448, 'Q124101724'), ('Tetris', 0.030396371632413578, 'Q71910'), ('Gibson', 0.08596317751626563, 'Q228012'), ('Willis', 0.1447773057422032, 'Q230193')]","[('Willis Gibson', 0.012602360123953448, 'Q124101724'), ('Tetris', 0.030396371632413578, 'Q71910')]"
https://commons.wikimedia.org/wiki/File:RI-51-0004201_2011_09_17_Casa_Terrades_Les_Punxes_Tribunes_Diagonal.jpg,"[('Casa de les Punxes', 0.004390086440759893, 'Q2561516'), ('Barcelona', 0.030396371632413578, 'Q1492')]","[('Casa de les Punxes', 0.004390086440759893, 'Q2561516'), ('Barcelona', 0.030396371632413578, 'Q1492')]"
https://commons.wikimedia.org/wiki/File:Looking_from_Leadenhall_Street_across_to_Billiter_Street_-_geograph.org.uk_-_1833063.jpg,"[('Structured Data on Commons', 0.05697623581533747, 'Q43387741'), ('Street', 0.0704458469039504, 'Q79007'), ('Edit', 0.07183635492086148, 'Q410090'), ('Leadenhall Street', 0.07565639314227511, 'Q866797'), ('Data', 0.10790465563622505, 'Q42848')]",[]
"https://commons.wikimedia.org/wiki/File:William_Morgan_ar_wal_St_Dogfan,_Llanrhaeadr-ym-Mochnant,_Powys_07.JPG",[],[]
https://commons.wikimedia.org/wiki/File:2022-08-13_European_Championships_2022_–_Triathlon_Elite_Men_by_Sandro_Halank–046.jpg,"[('European', 0.07005451118462933, 'Q11205140'), ('Triathlon', 0.10898594849344204, 'Q10980'), ('Elite', 0.1643991344743863, 'Q192797')]",[]
"https://commons.wikimedia.org/wiki/File:Pencommin,_Llangynidr_-_geograph.org.uk_-_4102793.jpg","[('Structured Data on Commons', 0.020823546486592265, 'Q43387741'), ('Llangynidr', 0.03205771370294977, 'Q6661562'), ('Edit', 0.05778792009511837, 'Q410090'), ('Data', 0.08389753467347122, 'Q42848'), ('File', 0.13719912558089892, 'Q1196501')]","[('Structured Data on Commons', 0.020823546486592265, 'Q43387741'), ('Llangynidr', 0.03205771370294977, 'Q6661562')]"
https://commons.wikimedia.org/wiki/File:The_abandoned_fishing_boat_near_Corpach_-_geograph.org.uk_-_3101344.jpg,"[('Structured Data on Commons', 0.021479808692056603, 'Q43387741'), ('Edit', 0.05845326453662622, 'Q410090'), ('Corpach', 0.08468472089719048, 'Q2409970'), ('Data', 0.08468472089719048, 'Q42848'), ('File', 0.13865325591368569, 'Q1196501')]","[('Structured Data on Commons', 0.021479808692056603, 'Q43387741')]"
https://commons.wikimedia.org/wiki/File:74.Дзвіниця_Вірменського_собору.jpg,"[('Ukraine', 0.0050087843847273165, 'Q212'), ('National', 0.05106119458641565, 'Q411842'), ('Site', 0.05106119458641565, 'Q1199068'), ('Heritage', 0.06628123498481293, 'Q415651')]","[('Ukraine', 0.0050087843847273165, 'Q212')]"
https://commons.wikimedia.org/wiki/File:Pluton_Stanisława_Wolaka_w_betoniarni.jpg,"[('Stanisława', 0.1447773057422032, 'Q7599264')]",[]
https://commons.wikimedia.org/wiki/File:Hedge-lined_road_between_Thoresway_and_Croxby_-_geograph.org.uk_-_6069839.jpg,"[('Structured Data on Commons', 0.02050180656197291, 'Q43387741'), ('Edit', 0.05745676479900364, 'Q410090'), ('Croxby', 0.08350449620480338, 'Q5189617'), ('Data', 0.08350449620480338, 'Q42848')]","[('Structured Data on Commons', 0.02050180656197291, 'Q43387741')]"
"https://commons.wikimedia.org/wiki/File:John_Syme_(1795-1861)_-_John_Syme_(1795–1861),_Artist,_Self_Portrait_-_PG_1544_-_National_Galleries_of_Scotland.jpg",[],[]
https://commons.wikimedia.org/wiki/File:Water_Lily_bulbs.jpg,"[('India', 0.030396371632413578, 'Q668'), ('Water lily', 0.04940384002065631, 'Q12972531'), ('Kerala', 0.08596317751626563, 'Q1186'), ('Water', 0.15831692877998726, 'Q283')]","[('India', 0.030396371632413578, 'Q668'), ('Water lily', 0.04940384002065631, 'Q12972531')]"
https://commons.wikimedia.org/wiki/File:Megaripples_in_sandstone_-_geograph.org.uk_-_4395474.jpg,"[('Structured Data on Commons', 0.020823546486592265, 'Q43387741'), ('Edit', 0.05778792009511837, 'Q410090'), ('Data', 0.08389753467347122, 'Q42848'), ('File', 0.13719912558089892, 'Q1196501')]","[('Structured Data on Commons', 0.020823546486592265, 'Q43387741')]"
https://commons.wikimedia.org/wiki/File:Crkva_Presvetog_Trojstva_u_Cerovcu_Barilovićkom.jpg,"[('Trinity', 0.1447773057422032, 'Q37090'), ('Cerovac', 0.1447773057422032, 'Q181255')]",[]
https://commons.wikimedia.org/wiki/File:Powder_Tower_IMG_2484.JPG,"[('Town Bridge', 0.02049525826366912, 'Q48842991')]","[('Town Bridge', 0.02049525826366912, 'Q48842991')]"
https://commons.wikimedia.org/wiki/File:2023-10-07_ratiopharm_Ulm_gegen_ALBA_Berlin_(Basketball-Bundesliga_2023-24)_by_Sandro_Halank–100.jpg,"[('Berlin', 0.08596317751626563, 'Q64'), ('Ulm', 0.1447773057422032, 'Q3012')]",[]
"https://commons.wikimedia.org/wiki/File:Minister_H.H._Wemmers,_Bestanddeelnr_904-4728.jpg","[('Minister', 0.06099900188685395, 'Q346786'), ('Reportage', 0.07984490035743966, 'Q124922')]",[]
https://commons.wikimedia.org/wiki/File:Schizaster_acuminatus_FOS_2527_-_3.JPG,"[('Louis Agassiz', 0.00812960437853087, 'Q122972'), ('Structured Data on Commons', 0.01932261362898254, 'Q43387741')]","[('Louis Agassiz', 0.00812960437853087, 'Q122972'), ('Structured Data on Commons', 0.01932261362898254, 'Q43387741')]"
https://commons.wikimedia.org/wiki/File:THE_BOWER.jpg,[],[]
"https://commons.wikimedia.org/wiki/File:The_Rake_^_Pikel_Inn,_Huntington_-_geograph.org.uk_-_5191224.jpg","[('Structured Data on Commons', 0.021479808692056603, 'Q43387741'), ('Huntington', 0.03251973582614479, 'Q219137'), ('Edit', 0.05845326453662622, 'Q410090'), ('Rake', 0.08468472089719048, 'Q416862'), ('Inn', 0.08468472089719048, 'Q256020')]","[('Structured Data on Commons', 0.021479808692056603, 'Q43387741'), ('Huntington', 0.03251973582614479, 'Q219137')]"
https://commons.wikimedia.org/wiki/File:ET22_na_stacji_Poznań_Franowo_-_grudzień_2020_-_1.jpg,"[('Poznań', 0.1447773057422032, 'Q268')]",[]
https://commons.wikimedia.org/wiki/File:Heather_-_geograph.org.uk_-_3078561.jpg,"[('Structured Data on Commons', 0.00015430829813687505, 'Q43387741'), ('Heather', 0.016629880197100422, 'Q15041366'), ('Edit', 0.025640282422966006, 'Q410090'), ('Commons', 0.025640282422966006, 'Q9828451'), ('File', 0.035282658632721245, 'Q1196501'), ('Data', 0.03853102278547309, 'Q42848')]","[('Structured Data on Commons', 0.00015430829813687505, 'Q43387741'), ('Heather', 0.016629880197100422, 'Q15041366'), ('Edit', 0.025640282422966006, 'Q410090'), ('Commons', 0.025640282422966006, 'Q9828451'), ('File', 0.035282658632721245, 'Q1196501'), ('Data', 0.03853102278547309, 'Q42848')]"
https://commons.wikimedia.org/wiki/File:B9168_heading_north_-_geograph.org.uk_-_3977347.jpg,"[('Structured Data on Commons', 0.021182499862873565, 'Q43387741'), ('Edit', 0.058153495491014076, 'Q410090'), ('Data', 0.08433046728767417, 'Q42848'), ('File', 0.13799842734432227, 'Q1196501')]","[('Structured Data on Commons', 0.021182499862873565, 'Q43387741')]"
https://commons.wikimedia.org/wiki/File:El_Paticano.jpg,[],[]
https://commons.wikimedia.org/wiki/File:Claudio_Arrau_(1923).jpg,"[('Claudio Arrau', 0.08356148188753545, 'Q160223'), ('Claudio', 0.26461637324500537, 'Q1150993')]",[]
https://commons.wikimedia.org/wiki/File:Country_road_-_geograph.org.uk_-_4200809.jpg,"[('Structured Data on Commons', 0.00015789664436453757, 'Q43387741'), ('Edit', 0.025858468534971937, 'Q410090'), ('Commons', 0.025858468534971937, 'Q9828451'), ('File', 0.035514607549195436, 'Q1196501'), ('Data', 0.03880781492529434, 'Q42848')]","[('Structured Data on Commons', 0.00015789664436453757, 'Q43387741'), ('Edit', 0.025858468534971937, 'Q410090'), ('Commons', 0.025858468534971937, 'Q9828451'), ('File', 0.035514607549195436, 'Q1196501'), ('Data', 0.03880781492529434, 'Q42848')]"
https://commons.wikimedia.org/wiki/File:Gliricidia_sepium_(Fabaceae)_01.jpg,"[('Gliricidia sepium', 0.04940384002065631, 'Q2717303'), ('Gliricidia', 0.15831692877998726, 'Q12549487')]","[('Gliricidia sepium', 0.04940384002065631, 'Q2717303')]"
https://commons.wikimedia.org/wiki/File:Grotte_de_Dargilan_21042014_11.jpg,"[('Cave', 0.09568045026443411, 'Q35509')]",[]
"https://commons.wikimedia.org/wiki/File:Jōmyō-ji,_Traditional_Japanese_garden_001.jpg",[],[]
"https://commons.wikimedia.org/wiki/File:The_Sandbanks_Hotel,_Sandbanks_-_geograph.org.uk_-_3851361.jpg","[('Structured Data on Commons', 0.008334606581016134, 'Q43387741'), ('Edit', 0.04713431603367058, 'Q410090'), ('Sandbanks', 0.05137209479170663, 'Q7416017'), ('Hotel', 0.06057210498569213, 'Q27686'), ('Data', 0.06057210498569213, 'Q42848')]","[('Structured Data on Commons', 0.008334606581016134, 'Q43387741'), ('Edit', 0.04713431603367058, 'Q410090')]"
https://commons.wikimedia.org/wiki/File:Wikiwsy.jpg,[],[]
"https://commons.wikimedia.org/wiki/File:St_Cuthbert's_Church,_Redmarshall_-_geograph.org.uk_-_6213567.jpg","[('Structured Data on Commons', 0.02099800202496307, 'Q43387741'), ('Redmarshall', 0.03218118393424493, 'Q7306091'), ('Edit', 0.05796609901334456, 'Q410090'), ('Church', 0.0841086684244873, 'Q605315'), ('Data', 0.0841086684244873, 'Q42848')]","[('Structured Data on Commons', 0.02099800202496307, 'Q43387741'), ('Redmarshall', 0.03218118393424493, 'Q7306091')]"
https://commons.wikimedia.org/wiki/File:Kaz_Dağlarının_Bilinmeyen_Güzellikleri_akarsu_nereye_giderse_bizde_oraya_gideriz.jpg,[],[]
https://commons.wikimedia.org/wiki/File:Air_Canada_Airbus_A319-114_C-FYJP_259_(7730979652).jpg,"[('DSC', 0.030396371632413578, 'Q297325')]","[('DSC', 0.030396371632413578, 'Q297325')]"
https://commons.wikimedia.org/wiki/File:View_towards_South_Downs_from_South_View_Terrace_-_geograph.org.uk_-_2350577.jpg,"[('Structured Data on Commons', 0.06233315354874569, 'Q43387741'), ('South', 0.07186963108258747, 'Q667'), ('Edit', 0.07398871851431262, 'Q410090'), ('View', 0.08194393947082194, 'Q419329'), ('Terrace', 0.09258774508326781, 'Q98124977'), ('South View', 0.10403119359659682, 'Q7568750')]",[]
https://commons.wikimedia.org/wiki/File:K.sh.baran8.jpg,"[('Iran', 0.08596317751626563, 'Q794')]",[]
https://commons.wikimedia.org/wiki/File:Semicassis_angasi_(MNHN-IM-2000-4151).jpeg,"[('Phalium', 0.06588837669267192, 'Q3017240'), ('Salmon', 0.06588837669267192, 'Q2796766'), ('Type', 0.06588837669267192, 'Q2463013')]",[]
"https://commons.wikimedia.org/wiki/File:All_Saints_Church,_Old_Town,_Hastings_(IoE_Code_293639).JPG","[('East Sussex', 0.0051661385960398145, 'Q23293'), ('Church', 0.07169091140734747, 'Q605315'), ('Street', 0.07169091140734747, 'Q79007'), ('East', 0.07169091140734747, 'Q684'), ('Sussex', 0.07169091140734747, 'Q23346'), ('Hastings', 0.07666504768827125, 'Q29245'), ('Town', 0.12251150780729887, 'Q3957')]","[('East Sussex', 0.0051661385960398145, 'Q23293')]"
https://commons.wikimedia.org/wiki/File:Netroots_Nation_2010_(4831389143).jpg,"[('IMG', 0.030396371632413578, 'Q424421')]","[('IMG', 0.030396371632413578, 'Q424421')]"
https://commons.wikimedia.org/wiki/File:JA-Serie-39_French-postcard.jpg,[],[]
https://commons.wikimedia.org/wiki/File:Opgravingen_-_Deventer_-_20054507_-_RCE.jpg,[],[]
https://commons.wikimedia.org/wiki/File:FC_Liefering_gegen_Kapfenberger_SV_(August_2016)_09.jpg,"[('Austria', 0.064011398160278, 'Q40')]",[]
https://commons.wikimedia.org/wiki/File:Skipton_Castle_-_geograph.org.uk_-_4695831.jpg,"[('Structured Data on Commons', 0.00015789664436453757, 'Q43387741'), ('Skipton Castle', 0.00802941640338703, 'Q7535853'), ('Edit', 0.025858468534971937, 'Q410090'), ('Commons', 0.025858468534971937, 'Q9828451'), ('File', 0.035514607549195436, 'Q1196501'), ('Castle', 0.03880781492529434, 'Q23413')]","[('Structured Data on Commons', 0.00015789664436453757, 'Q43387741'), ('Skipton Castle', 0.00802941640338703, 'Q7535853'), ('Edit', 0.025858468534971937, 'Q410090'), ('Commons', 0.025858468534971937, 'Q9828451'), ('File', 0.035514607549195436, 'Q1196501'), ('Castle', 0.03880781492529434, 'Q23413')]"
https://commons.wikimedia.org/wiki/File:The_church_of_SS_Cyriac_and_Julitta_in_Swaffham_Prior_-_geograph.org.uk_-_2968425.jpg,"[('Edit', 0.08721629561543309, 'Q410090'), ('Swaffham Prior', 0.09558226212033273, 'Q2088589'), ('Prior', 0.12152769909226613, 'Q342015'), ('Data', 0.1431794486816405, 'Q42848'), ('Structured Data on Commons', 0.14685563771925994, 'Q43387741'), ('Cyriac', 0.1794721417992727, 'Q1534372')]",[]
https://commons.wikimedia.org/wiki/File:A_crossing_of_train_lines_-_geograph.org.uk_-_3117362.jpg,"[('Structured Data on Commons', 0.021182499862873565, 'Q43387741'), ('Edit', 0.058153495491014076, 'Q410090'), ('Data', 0.08433046728767417, 'Q42848'), ('File', 0.13799842734432227, 'Q1196501'), ('Commons', 0.16057196988992914, 'Q9828451')]","[('Structured Data on Commons', 0.021182499862873565, 'Q43387741')]"
"https://commons.wikimedia.org/wiki/File:Stadtbahnhaltestelle_Clausewitzstraße,_2,_Bult,_Hannover.jpg",[],[]
"https://commons.wikimedia.org/wiki/File:St_Andrew,_Meonstoke,_memorial_to_an_MP's_wife_-_geograph.org.uk_-_5273188.jpg","[('Structured Data on Commons', 0.021303260685304845, 'Q43387741'), ('Meonstoke', 0.032396092365556524, 'Q1215935'), ('Edit', 0.05827558214642141, 'Q410090'), ('Andrew', 0.08447482503148175, 'Q18042461'), ('Data', 0.08447482503148175, 'Q42848'), ('File', 0.13826518318755227, 'Q1196501')]","[('Structured Data on Commons', 0.021303260685304845, 'Q43387741'), ('Meonstoke', 0.032396092365556524, 'Q1215935')]"
https://commons.wikimedia.org/wiki/File:Stejarisu_Biserica_fortificata_(2).jpg,[],[]
https://commons.wikimedia.org/wiki/File:P061913PS-1195_(9314671291).jpg,"[('Evan Vucci', 0.008426842716032704, 'Q5415560')]","[('Evan Vucci', 0.008426842716032704, 'Q5415560')]"
"https://commons.wikimedia.org/wiki/File:Askew_Avenue_towards_Fiveways,_Hull_-_geograph.org.uk_-_3263149.jpg","[('Structured Data on Commons', 0.021479808692056603, 'Q43387741'), ('Hull', 0.03251973582614479, 'Q218212'), ('Edit', 0.05845326453662622, 'Q410090'), ('Fiveways', 0.08468472089719048, 'Q42385150'), ('Data', 0.08468472089719048, 'Q42848')]","[('Structured Data on Commons', 0.021479808692056603, 'Q43387741'), ('Hull', 0.03251973582614479, 'Q218212')]"
https://commons.wikimedia.org/wiki/File:Klimówka_cmentarz_grób_02.jpg,"[('Adam', 0.0401219746920957, 'Q70899')]","[('Adam', 0.0401219746920957, 'Q70899')]"
"https://commons.wikimedia.org/wiki/File:Site_of_Legbourne_Priory_and_Abbey,_aerial_2015_-_geograph.org.uk_-_4775502.jpg","[('Edit', 0.08729517190074555, 'Q410090'), ('Abbey', 0.12161382609667945, 'Q160742'), ('Legbourne Priory', 0.14805403713816573, 'Q6517700'), ('Site', 0.15589530420623263, 'Q1199068')]",[]
"https://commons.wikimedia.org/wiki/File:2022-10-29_Wase_Gymcup_MAG_Youth,_Juniors_and_Seniors_I_warm-up_Vault_(Martin_Rulsch)_21.jpg","[('Youth', 0.07526550314924853, 'Q190007'), ('Wase', 0.07526550314924853, 'Q7971375')]",[]
https://commons.wikimedia.org/wiki/File:ISS041-E-2810_-_View_of_Earth.jpg,"[('Expedition', 0.08596317751626563, 'Q29023405'), ('Earth', 0.1447773057422032, 'Q2'), ('View', 0.15831692877998726, 'Q419329')]",[]
https://commons.wikimedia.org/wiki/File:Glasshouses_at_West_Town_Farm_-_geograph.org.uk_-_6069862.jpg,"[('Structured Data on Commons', 0.007418787929173223, 'Q43387741'), ('West Town', 0.029533197343500586, 'Q7986686'), ('Edit', 0.04529455052083391, 'Q410090'), ('Farm', 0.05845326453662622, 'Q131596')]","[('Structured Data on Commons', 0.007418787929173223, 'Q43387741'), ('West Town', 0.029533197343500586, 'Q7986686'), ('Edit', 0.04529455052083391, 'Q410090')]"
https://commons.wikimedia.org/wiki/File:Théâtre_Capitol_c.1935.jpg,"[('Theatre', 0.1447773057422032, 'Q11635'), ('Capitol', 0.15831692877998726, 'Q224158')]",[]
https://commons.wikimedia.org/wiki/File:Chapelles_Funéraires_Famille_Brillet_&_Famille_Quéhan_Cimetière_Nord_-_Saint-Mandé_(FR94)_-_2021-02-10_-_1.jpg,[],[]
https://commons.wikimedia.org/wiki/File:Stadshuset_Sundsvall_52.JPG,"[('Swedish National Heritage Board', 0.0001660334255047395, 'Q631844'), ('National Heritage Board', 0.001881309737406442, 'Q6973043'), ('Swedish', 0.08596317751626563, 'Q298714'), ('Board', 0.08596317751626563, 'Q268146')]","[('Swedish National Heritage Board', 0.0001660334255047395, 'Q631844'), ('National Heritage Board', 0.001881309737406442, 'Q6973043')]"
https://commons.wikimedia.org/wiki/File:Canal_in_winter_-_geograph.org.uk_-_5270228.jpg,"[('Structured Data on Commons', 0.00015789664436453757, 'Q43387741'), ('Edit', 0.025858468534971937, 'Q410090'), ('Commons', 0.025858468534971937, 'Q9828451'), ('File', 0.035514607549195436, 'Q1196501'), ('Data', 0.03880781492529434, 'Q42848'), ('Canal', 0.051313494693114886, 'Q12284')]","[('Structured Data on Commons', 0.00015789664436453757, 'Q43387741'), ('Edit', 0.025858468534971937, 'Q410090'), ('Commons', 0.025858468534971937, 'Q9828451'), ('File', 0.035514607549195436, 'Q1196501'), ('Data', 0.03880781492529434, 'Q42848')]"
