Image Title,Metadata Key,Metadata Value,Depicts Statement
File:上板サービスエリア Kamiita SA - panoramio.jpg,DateTime,2017-06-21 10:06:46,
File:上板サービスエリア Kamiita SA - panoramio.jpg,ObjectName,上板サービスエリア Kamiita SA - panoramio,
File:上板サービスエリア Kamiita SA - panoramio.jpg,CommonsMetadataExtension,1.2,
File:上板サービスエリア Kamiita SA - panoramio.jpg,Categories,"Kamiita, Tokushima|Pages with maps|Panoramio files uploaded by Panoramio upload bot|Panoramio images reviewed by trusted users|Photographs taken on 2015-10-12|Photos from Panoramio|Photos from Panoramio ID 4453381|Rest areas in Tokushima prefecture|Rest areas of Tokushima Expressway",
File:上板サービスエリア Kamiita SA - panoramio.jpg,Assessments,,
File:上板サービスエリア Kamiita SA - panoramio.jpg,GPSLatitude,34.140469,
File:上板サービスエリア Kamiita SA - panoramio.jpg,GPSLongitude,134.410173,
File:上板サービスエリア Kamiita SA - panoramio.jpg,GPSMapDatum,WGS-84,
File:上板サービスエリア Kamiita SA - panoramio.jpg,ImageDescription,上板サービスエリア Kamiita SA,
File:上板サービスエリア Kamiita SA - panoramio.jpg,DateTimeOriginal,Taken on 12 October 2015,
File:上板サービスエリア Kamiita SA - panoramio.jpg,Credit,"<a rel=""nofollow"" class=""external free"" href=""https://web.archive.org/web/20161102064126/http://www.panoramio.com/photo/124901361"">https://web.archive.org/web/20161102064126/http://www.panoramio.com/photo/124901361</a>",
File:上板サービスエリア Kamiita SA - panoramio.jpg,Artist,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161102064128/http://www.panoramio.com/user/4453381?with_photo_id=124901361"">iloverjoa</a>",
